Company,CEO,Salary (million)
PIPER JAFFRAY COS INC,Andrew S. Duff,0.61
PITNEY BOWES INC,Murray Martin,0.95
PLANTRONICS INC,Kenneth Kannappan,0.65
POTLATCH CORP,Michael J. Covey,0.69
PEPCO HOLDINGS INC,Joseph M. Rigby,0.88
POWELL INDUSTRIES INC,Patrick L. McDonald,0.43
PREPAID LEGAL SERVICES INC,Mark Brown,0.18
PRECISION CASTPARTS CORP,Mark Donegan,1.45
PROCTER & GAMBLE CO,Robert A. McDonald,1.6
PROTECTIVE LIFE CORP,John D. Johns,0.87
PNM RESOURCES INC,Pat Collawn,0.55
PUBLIC SERVICE ENTRP GRP INC,Ralph Izzo,0.95
PUBLIX SUPER MARKETS INC,William E. Crenshaw,0.78
PUGET ENERGY INC,Kimberly J. Harris,0.51
PULTEGROUP INC,"Richard J. Dugas, Jr.",1.2
QUAKER CHEMICAL CORP,Michael F. Barry,0.49
QUALITY SYSTEMS INC,Steven T. Plochocki,0.52
QUANTUM CORP,Jon W. Gacek,0.41
QUESTAR CORP,Ronald W. Jibson,0.4
RAYMOND JAMES FINANCIAL CORP,Paul C. Reilly,0.41
RPM INTERNATIONAL INC,Frank C. Sullivan,0.85
RAYTHEON CO,William H. Swanson,1.33
REGAL-BELOIT CORP,Mark Gliebe,0.57
REGIS CORP/MN,Paul D. Finkelstein,1.42
HSBC USA INC,Irene M. Dorner,0.57
AUTONATION INC,Michael J. Jackson,1.15
RITE AID CORP,Mary F. Sammons,1
ROBBINS & MYERS INC,Peter C. Wallace,0.7
ROCKWELL AUTOMATION,Keith D. Nosbusch,0.99
ROGERS CORP,Robert D. Wachob,0.5
ROLLINS INC,Gary W. Rollins,1
ROSS STORES INC,Michael Balmuth,1.15
ROWAN COS INC,W. Matt Ralls,0.8
KID BRANDS INC,Bruce G. Crain,0.56
RYDER SYSTEM INC,Gregory T. Swienton,0.9
RYLAND GROUP INC,Larry T. Nicholson,0.9
SEI INVESTMENTS CO,"Alfred P. West, Jr.",0.4
SAFEGUARD SCIENTIFICS INC,Peter J. Boni,0.67
SAFEWAY INC,Steven A. Burd,1.49
ST JUDE MEDICAL INC,Daniel J. Starks,1
SARA LEE CORP,Marcel Smits,0.74
SCANA CORP,William B. Timmerman,1.1
SCHLUMBERGER LTD,Paal Kibsgaard,0.98
SCHOLASTIC CORP,Richard Robinson,0.87
SCHULMAN (A.) INC,Joseph M. Gingo,0.78
SEALED AIR CORP,William V. Hickey,0.67
SEMTECH CORP,Mohan Maheswaran,0.45
SERVICE CORP INTERNATIONAL,Thomas L. Ryan,0.95
SHERWIN-WILLIAMS CO,Christopher M. Connor,1.22
SIGMA-ALDRICH CORP,Rakesh Sachdev,0.49
SYMMETRICOM INC,David G. C?t?,0.4
SKYLINE CORP,Thomas G. Deranek,0.3
SMITH (A O) CORP,Paul W. Jones,1
SMITHFIELD FOODS INC,C. Larry Pope,1.1
SMUCKER (JM) CO,Richard K. Smucker,0.85
SNAP-ON INC,Nicholas T. Pinchuk,0.81
KEYCORP,Beth E. Mooney,1.61
SONOCO PRODUCTS CO,"Harris E. DeLoach, Jr.",1.06
SOUTH JERSEY INDUSTRIES INC,Edward J. Graham,0.62
PIONEER DRILLING CO,William Stacy Locke,0.55
EDISON INTERNATIONAL,"Theodore F. Craver, Jr.",1.1
AMERICAN STATES WATER CO,Robert J. Sprowls,0.48
SOUTHERN CO,Thomas A. Fanning,0.81
SOUTHERN UNION CO,George L. Lindemann,1
SOUTHWEST AIRLINES,Gary C. Kelly,0.47
SOUTHWEST GAS CORP,Jeffrey W. Shaw,0.67
AT&T INC,Randall L. Stephenson,1.53
SOUTHWESTERN ENERGY CO,Steven L. Mueller,0.72
SPARTAN MOTORS INC,John Sztykiel,0.32
STANDARD MICROSYSTEMS CORP,Christine King,0.63
STANDARD MOTOR PRODS,Lawrence I. Sills,0.47
STANDARD PACIFIC CORP,"Kenneth L. Campbell, III",0.85
STANDARD REGISTER CO,"Joseph P. Morgan, Jr.",0.6
STANDEX INTERNATIONAL CORP,Roger Fix,0.73
STANLEY BLACK & DECKER INC,John F. Lundgren,1.21
STATE STREET CORP,Joseph L. Hooley,0.96
STEPAN CO,"F. Quinn Stepan, Jr.",0.68
STERLING BANCORP/NY,Louis J. Cappelli,0.97
STEWART INFORMATION SERVICES,Malcolm S. Morris,0.31
PUBLIC STORAGE,"Ronald L. Havner, Jr.",1
STRYKER CORP,Stephen P. MacMillan,1.2
SLM CORP,Albert L. Lord,1.03
STURM RUGER & CO INC,Michael O. Fifer,0.42
SUNOCO INC,Lynn L. Elsenhans,1.24
SUNTRUST BANKS INC,"William Henry Rogers, Jr.",0.58
SUPERVALU INC,Craig R. Herkert,0.85
SUPERIOR INDUSTRIES INTL,Steven J. Borick,0.85
SUPERTEX INC,"Henry C. Pao, Ph.D.",0.29
SWIFT ENERGY CO,Terry E. Swift,0.63
SYSCO CORP,"William J. DeLaney, III",0.8
TECO ENERGY INC,Sherrill W. Hudson,0.68
RADIOSHACK CORP,James F. Gooch,0.61
PULSE ELECTRONICS CORP,Daniel M. Moloney,0.28
TECUMSEH PRODUCTS CO  -CL A,James J. Connor,0.35
ALLEGHENY TECHNOLOGIES INC,L. Patrick Hassey,0.94
TELEFLEX INC,Jeffrey P. Black,0.9
TELEPHONE & DATA SYSTEMS INC,"LeRoy T. Carlson, Jr.",1.31
TELLABS INC,Robert W. Pullen,0.6
TEMPLE-INLAND INC,Doyle R. Simons,0.78
TENNANT CO,H. Chris Killingstad,0.59
TENNECO INC,Gregg M. Sherrill,0.95
TERADYNE INC,Michael A. Bradley,0.64
TESORO CORP,Gregory J. Goff,0.57
TEXAS INDUSTRIES INC,Melvin G. Brekhus,0.54
TEXAS INSTRUMENTS INC,Richard K. Templeton,0.99
ENERGY FUTURE HOLDINGS CORP,John F. Young,1.2
TEXTRON INC,Scott Donnelly,1
THERMO FISHER SCIENTIFIC INC,Marc N. Casper,0.98
THOMAS & BETTS CORP,Dominic J. Pileggi,0.93
THOR INDUSTRIES INC,Peter B. Orthwein,0.48
THORATEC CORP,Gary Burbach,0.51
TIDEWATER INC,Dean E. Taylor,0.62
SIX FLAGS ENTERTAINMENT CORP,James W. P. Reid-Anderson,0.45
TIMKEN CO,James W. Griffith,1.03
TORCHMARK CORP,Mark S. McAndrew,0.96
TORO CO,Michael J. Hoffman,0.82
TOTAL SYSTEM SERVICES INC,Philip W. Tomlinson,0.84
TOYS R US INC,Gerald L. Storch,1.14
TRINITY INDUSTRIES,Timothy R. Wallace,0.95
UNISOURCE ENERGY CORP,Paul J. Bonavia,0.61
TYCO INTERNATIONAL LTD,Edward D. Breen,1.63
TYLER TECHNOLOGIES INC,"John S. Marr, Jr.",0.42
TYSON FOODS INC  -CL A,Donnie Smith,0.86
UNITED CONTINENTAL HLDGS INC,Jeffery A. Smisek,0.79
UGI CORP,Lon R. Greenberg,1.07
URS CORP,Martin M. Koffel,1
USG CORP,James S. Metcalf,0.65
UNIFI INC,William L. Jasper,0.64
UNIFIRST CORP,Ronald D. Croatti,0.5
AMEREN CORP,Thomas R. Voss,0.78
UNION PACIFIC CORP,James R. Young,1.15
UNIT CORP,Larry D. Pinkston,0.64
CHIQUITA BRANDS INTL INC,Fernando Aguirre,1
UDR INC,Thomas W. Toomey,0.5
UNITEDHEALTH GROUP INC,Stephen J. Hemsley,1.3
UIL HOLDINGS CORP,James P. Torgerson,0.63
UMB FINANCIAL CORP,J. Mariner Kemper,0.6
UNITED PARCEL SERVICE INC,D. Scott Davis,1
UNITED STATIONERS INC,P. Cody Phipps,0.51
UNITED TECHNOLOGIES CORP,Louis R. Ch?nevert,1.59
SPRINT NEXTEL CORP,Daniel R. Hesse,1.2
SCIENTIFIC GAMES CORP,Michael R. Chambrello,0.93
SENSIENT TECHNOLOGIES CORP,Kenneth P. Manning,0.96
UNIVERSAL CORP/VA,"George C. Freeman, III",0.78
UNIVERSAL HEALTH SVCS INC,Alan B. Miller,1.38
VF CORP,Eric C. Wiseman,1.03
VALMONT INDUSTRIES INC,Mogens C. Bay,0.88
VALSPAR CORP,Gary E. Hendrickson,0.54
VARIAN MEDICAL SYSTEMS INC,Timothy E. Guertin,0.88
VEECO INSTRUMENTS INC,John Peeler,0.62
VISHAY INTERTECHNOLOGY INC,Gerald Paul,1
VORNADO REALTY TRUST,Michael D. Fascitelli,1
VULCAN MATERIALS CO,Donald M. James,1.25
WD-40 CO,Garry O. Ridge,0.57
FRONTIER OIL CORP,Michael C. Jennings,0.78
WAL-MART STORES INC,Mike Duke,1.23
WALGREEN CO,"Gregory D. Wasson, R.ph",1.07
WGL HOLDINGS INC,Terry D. McCallister,0.62
WASHINGTON POST  -CL B,Don Graham,0.4
AVISTA CORP,Scott L. Morris,0.63
WAUSAU PAPER CORP,Thomas J. Howatt,0.83
WEINGARTEN REALTY INVST,Andrew M. Alexander,0.7
WEST PHARMACEUTICAL SVSC INC,"Donald E. Morel, Jr., Ph.D.",0.83
WESTERN DIGITAL CORP,John F. Coyne,0.81
MEADWESTVACO CORP,"John A. Luke, Jr.",1.01
WEYERHAEUSER CO,Daniel S. Fulton,0.8
HANDY & HARMAN LTD,Glen M. Kassan,0
WHIRLPOOL CORP,Jeff M. Fettig,1.33
WHITNEY HOLDING CORP,"John C. Hope, III",0.75
WILEY (JOHN) & SONS  -CL A,Stephen M. Smith,0.62
WILLIAMS COS INC,Alan S. Armstrong,0.49
WMS INDUSTRIES INC,Brian R. Gamache,0.92
WILLIAMS-SONOMA INC,Laura J. Alber,0.95
WILMINGTON TRUST CORP,Donald E. Foley,0.7
WINN-DIXIE STORES INC,Peter L. Lynch,1.33
WINNEBAGO INDUSTRIES,Robert J. Olson,0.37
WISCONSIN ENERGY CORP,Gale E. Klappa,1.13
ALLIANT ENERGY CORP,William D. Harvey,0.87
INTEGRYS ENERGY GROUP INC,Charles A. Schrock,0.82
WOLVERINE WORLD WIDE,Blake W. Krueger,0.77
WOODWARD GOVERNOR CO,Thomas A. Gendron,0.7
FOOT LOCKER INC,Kenneth C. Hicks,1.1
WORTHINGTON INDUSTRIES,John P. McConnell,0.6
XEROX CORP,Ursula M. Burns,1.05
YRC WORLDWIDE INC,William D. Zollars,0.93
ZALE CORP,Theo Killion,0.6
TJX COMPANIES INC,Carol M. Meyrowitz,1.58
ZIONS BANCORPORATION,H. H. Simmons,1.16
OSHKOSH CORP,Charles L. Szews,0.69
PENFORD CORP,Tom Malkoski,0.55
STIFEL FINANCIAL CORP,Ronald J. Kruszewski,0.2
DREW INDUSTRIES INC,Fred Zinn,0.45
HENRY (JACK) & ASSOCIATES,John F. Prim,0.5
ASSOCIATED BANC-CORP,Philip B. Flynn,3.46
BB&T CORP,Kelly S. King,0.94
VALLEY NATIONAL BANCORP,Gerald H. Lipkin,1.08
FIRST MIDWEST BANCORP INC,Michael L. Scudder,1.01
NOVELL INC,Ronald W. Hovsepian,0.93
IMMUCOR INC,Gioacchino Eatz De Chirico,0.6
ANADARKO PETROLEUM CORP,James T. Hackett,1.57
NOBLE CORP,David W. Williams,0.98
TUESDAY MORNING CORP,Kathleen Mason,0.75
EMC CORP/MA,Joseph M. Tucci,1
BALLY TECHNOLOGIES INC,Richard M. Haddrill,1
BIG LOTS INC,Steven S. Fishman,1.37
MORGAN STANLEY,James P. Gorman,0.8
PRICE (T. ROWE) GROUP,"James Aloysius Charles Kennedy, CFA",0.35
NATIONAL RETAIL PROPERTIES,Craig Macnab,0.55
MICROSOFT CORP,Steven A. Ballmer,0.67
ORACLE CORP,Lawrence J. Ellison,0
SUNGARD DATA SYSTEMS INC,Crist?bal I. Conde,0.95
TECH DATA CORP,Robert Dutkowsky,0.96
X-RITE INC,"Thomas J. Vacchiano, Jr.",0.35
DIRECTV,Michael White,1.45
TEKELEC,William H. Everett,0.13
CYPRESS SEMICONDUCTOR CORP,"T. J. Rodgers, Ph.D.",0.6
LINEAR TECHNOLOGY CORP,Lothar Maier,0.47
GENZYME CORP,Henri A. Termeer,1.64
SIGMA DESIGNS INC,Thinh Q. Tran,0.55
XOMA LTD,Steven B. Engle,0.55
ADPT CORP,John J. Quicke,0.27
ASTEC INDUSTRIES INC,"J. Don Brock, Ph.D., P.E.",0.55
WERNER ENTERPRISES INC,Gregory L. Werner,0.72
HEALTH MANAGEMENT ASSOC,Gary D. Newsome,0.9
HARLEY-DAVIDSON INC,Keith E. Wandell,0.98
SKYWEST INC,Jerry C. Atkin,0.38
TOLL BROTHERS INC,"Douglas C. Yearley, Jr.",1
FREDS INC,Bruce A. Efird,0.65
MERIDIAN BIOSCIENCE INC,John A. Kraeutler,0.54
GARTNER INC,Eugene A. Hall,0.75
WATTS WATER TECHNOLOGIES INC,David J. Coghlan,0.41
NVR INC,Paul C. Saville,0.8
WORLD FUEL SERVICES CORP,Paul H. Stebbins,0.58
CABLEVISION SYS CORP  -CL A,James L. Dolan,1.5
ADOBE SYSTEMS INC,Shantanu Narayen,0.91
HARTE HANKS INC,Larry Franklin,0.3
BIO REFERENCE LABS,"Marc D. Grodman, M.D.",1.01
MAGNETEK INC,Peter M. McCormick,0.3
HEALTHSOUTH CORP,Jay F. Grinney,1
CNO FINANCIAL GROUP INC,"Claude James Prieur, CFA",0.9
M/I HOMES INC,Robert H. Schottenstein,0.75
FISERV INC,Jeffery Yabuki,0.84
CARMIKE CINEMAS INC,"S. David Passman, III",0.63
KB HOME,Jeffrey T. Mezger,1
THERAGENICS CORP,M. Christine Jacobs,0.56
UNUM GROUP,Thomas Watjen,1.1
LYRIS INC,Wolfgang Maasberg,0.3
COCA-COLA ENTERPRISES INC,"John F. Brock, III",1.19
PILGRIM'S PRIDE CORP,Don Jackson,1.5
HARMAN INTERNATIONAL INDS,Dinesh C. Paliwal,1.13
LOJACK CORP,"Ronald V. Waters, III",0.2
CORELOGIC INC,Parker S. Kennedy,0.47
J & J SNACK FOODS CORP,Gerald B. Shreiber,0.73
HEARTLAND EXPRESS INC,Michael J. Gerdin,0.24
CERNER CORP,Neal Patterson,1.01
QUIKSILVER INC,"Robert B. McKnight, Jr.",1
COMVERSE TECHNOLOGY INC,Andre Dahan,0.91
GEORGIA GULF CORP,Paul D. Carrico,0.77
PLEXUS CORP,Dean Foate,0.77
AIRGAS INC,Peter McCausland,0.89
JOY GLOBAL INC,Michael W. Sutherlin,0.89
NETWORK EQUIPMENT TECH INC,"C. Nicholas Keating, Jr.",0.35
CASH AMERICA INTL INC,Daniel R. Feehan,0.79
SYNOVUS FINANCIAL CORP,"Kessel D. Stelling, Jr.",0.59
JACK IN THE BOX INC,Linda A. Lang,0.92
NATIONWIDE HEALTH PPTYS INC,Douglas M. Pasquale,0.65
HCP INC,"James F. Flaherty, III",0.6
CYTRX CORP,Steven A. Kriegsman,0.65
CEDAR SHOPPING CENTERS INC,"Leo S. Ullman, J.D.",0.51
PHOTRONICS INC,Constantine S. Mac Ricostas,0.6
SANDERSON FARMS INC,"Joe F. Sanderson, Jr.",1.21
C&D TECHNOLOGIES INC,"Jeffrey A. Graves, Ph.D.",0.55
PROGRESSIVE CORP-OHIO,Glenn M. Renwick,0.75
RLI CORP,Jonathan E. Michael,0.73
AUDIOVOX CORP  -CL A,Patrick M. Lavelle,1
GENERAL COMMUNICATION  -CL A,Ronald A. Duncan,0.6
SAKS INC,Stephen I. Sadove,0.99
CASUAL MALE RETAIL GRP INC,David A. Levin,0.81
CALGON CARBON CORP,John S. Stanik,0.53
CADENCE DESIGN SYSTEMS INC,Lip-Bu Tan,0.46
MIDAMERICAN ENERGY HOLDINGS,G. E. Abel,1
LEVEL 3 COMMUNICATIONS INC,James Crowe,0.82
EBIX INC,Robin Raina,0.8
CARNIVAL CORP/PLC (USA),Micky M. Arison,0.88
DUKE REALTY CORP,Dennis D. Oklak,0.5
HANCOCK FABRICS INC,Jane F. Aggers,0.45
TIMBERLAND CO  -CL A,Jeffrey B. Swartz,0.83
UNIVERSAL HEALTH RLTY INCOME,Alan B. Miller,0
CELGENE CORP,"Robert J. Hugin, MBA",0.89
CONMED CORP,Joseph J. Corasanti,0.7
TIFFANY & CO,Michael J. Kowalski,0.96
DENTSPLY INTERNATL INC,Bret W. Wise,0.83
ALERIS CORP-REDH,Steven J. Demetriou,1
CBS CORP,Leslie Moonves,3.51
AIR METHODS CORP,"A. John Todd, III",0.41
ALMOST FAMILY INC,William B. Yarmuth,0.53
FAIR ISAAC CORP,Mark N. Greene,0.63
CAMBREX CORP,Steve Klosk,0.45
SCHWAB (CHARLES) CORP,"Walter W. Bettinger, II",0.9
WARNACO GROUP INC,Joseph R. Gromek,1.14
CLEAN HARBORS INC,Alan S. McKim,0.75
ALBANY INTL CORP  -CL A,"Joseph G. Morone, Ph.D.",0.74
LANDAUER INC,William E. Saxelby,0.54
FULTON FINANCIAL CORP,"R. Scott Smith, Jr.",0.81
AMCOL INTERNATIONAL CORP,Ryan F. McKendrick,0.41
GEN-PROBE INC,Carl W. Hull,0.68
BANCORPSOUTH INC,"Aubrey B. Patterson, Jr.",0.8
FASTENAL CO,Willard D. Oberton,0.48
MAXIM INTEGRATED PRODUCTS,Tun? Doluca,0.5
AMPHENOL CORP,R. Adam Norwitt,0.88
INTER PARFUMS INC,Jean Madar,0.38
POLARIS INDUSTRIES INC,Scott W. Wine,0.66
ALTERA CORP,John P. Daane,0.74
PIONEER NATURAL RESOURCES CO,Scott D. Sheffield,0.96
MANPOWERGROUP,Jeffrey A. Joerres,1
SOTHEBY'S,William F. Ruprecht,0.69
MGM RESORTS INTERNATIONAL,James Joseph Murren,2
WASTE MANAGEMENT INC,David P. Steiner,1.07
DELL INC,Michael S. Dell,0.95
EW SCRIPPS  -CL A,Rich Boehne,0.68
KINETIC CONCEPTS INC,Catherine Burzik,0.88
II-VI INC,Francis J. Kramer,0.56
FREEPORT-MCMORAN COP&GOLD,Richard C. Adkerson,2.5
NOVELLUS SYSTEMS INC,Richard Hill,0.88
OFFICE DEPOT INC,Steve Odland,0.85
BMC SOFTWARE INC,Robert E. Beauchamp,0.95
MERITAGE HOMES CORP,Steven J. Hilton,1.02
ARCH COAL INC,Steven F. Leer,0.85
PRESIDENTIAL LIFE CORP,Donald L. Barnes,0.52
BERKLEY (W R) CORP,William R. Berkley,1
CINCINNATI FINANCIAL CORP,Steven J. Johnston,0.6
OLD REPUBLIC INTL CORP,Aldo C. Zucaro,0.78
MERISEL INC,Donald R. Uzzi,0.36
PRIDE INTERNATIONAL INC,"Louis A. Raspino, Jr.",0.95
DEVON ENERGY CORP,John Richels,1.23
LINDSAY CORP,Richard W. Parod,0.5
LABORATORY CP OF AMER HLDGS,David P. King,0.89
CEC ENTERTAINMENT INC,Michael H. Magusiak,0.8
BECKMAN COULTER INC,J. Robert Hurley,0.48
ISTAR FINANCIAL INC,Jay Sugarman,1
FEDERAL HOME LOAN MORTG CORP,"Charles Edgar Haldeman, Jr.",2.45
VALERO ENERGY CORP,William R. Klesse,1.5
IDEX CORP,Andrew K. Silvernail,0.38
HARVEST NATURAL RESOURCES,James A. Edmiston,0.46
EMMIS COMMUNICATIONS CP-CL A,Jeffrey H. Smulyan,0.79
MUELLER INDUSTRIES,Gregory L. Christopher,0.65
TECHNE CORP,Thomas E. Oland,0.25
BROWN & BROWN INC,"J. Powell Brown, CPCU",0.57
TREDEGAR CORP,Nancy Taylor,0.68
STAPLES INC,Ronald L. Sargent,1.15
ALLERGAN INC,David E.I. Pyott,1.3
PLUM CREEK TIMBER CO INC,Rick R. Holley,0.83
SYMANTEC CORP,Enrique T. Salem,0.75
COGNEX CORP,Robert J. Willett,0.33
PEOPLE'S UNITED FINL INC,John P. Barnes,0.7
CIRRUS LOGIC INC,"Jason P. Rhode, Ph.D.",0.41
NEOGEN CORP,James L. Herbert,0.32
HANGER ORTHOPEDIC GROUP INC,"Thomas F. Kirk, Ph.D.",0.62
LEAR CORP,Robert E. Rossiter,1.28
EOG RESOURCES INC,Mark G. Papa,0.94
ZIX CORP,Richard D. Spurr,0.3
LATTICE SEMICONDUCTOR CORP,Darin G. Billerbeck,0.07
RTI INTL METALS INC,"Dawne S. Hickton, Esq.",0.58
BANKATLANTIC BANCORP  -CL A,Alan B. Levan,0.55
CENTRAL PACIFIC FINANCIAL CP,Ronald K. Migita,0.1
DIGI INTERNATIONAL INC,Joseph T. Dunsmore,0.41
ELECTRONIC ARTS INC,John S. Riccitiello,0.8
CITY HOLDING CO,Charles R. Hageboeck,0.42
COMMUNITY BANK SYSTEM INC,Mark E. Tryniski,0.45
FIRST BANCORP P R,Aurelio Aleman,0.75
GLACIER BANCORP INC,Michael J. Blodnick,0.33
SIGNATURE GROUP HLDGS INC,Craig Forrest Noell,0.08
INDEPENDENT BANK CORP/MA,Christopher Oddleifson,0.55
INDEPENDENT BANK CORP/MI,"Michael M. Magee, Jr.",0.38
MERCURY GENERAL CORP,Gabriel Tirador,0.79
NATIONAL PENN BANCSHARES INC,Scott V. Fainor,0.53
NAVIGATORS GROUP INC,Stanley A. Galanski,0.73
OLD NATIONAL BANCORP,Robert G. Jones,0.65
SELECTIVE INS GROUP INC,Gregory E. Murphy,0.9
SVB FINANCIAL GROUP,Gregory W. Becker,0.71
SANTANDER HOLDINGS USA INC,Gabriel Jaramillo,2.01
WASHINGTON FED INC,Roy Whitehead,0.56
WEBSTER FINANCIAL CORP,James C. Smith,1.72
FIRST FINL BANCORP INC/OH,Claude Davis,0.64
AMERICREDIT CORP,Daniel E. Berce,0.95
TOMPKINS FINANCIAL CORP,Stephen S. Romaine,0.45
TRUSTCO BANK CORP/NY,Robert Joseph McCormick,0.88
UNITED BANKSHARES INC/WV,Richard M. Adams,0.67
UNITED FIRE & CAS CO,Randy A. Ramlo,0.41
HEALTHMARKETS INC,Kenneth J. Fasola,0.16
F N B CORP/FL,Stephen J. Gurgovits,0.77
FIRST COMMONWLTH FINL CP/PA,John J. Dolan,0.46
PARAMETRIC TECHNOLOGY CORP,James E. Heppelmann,0.55
N B T BANCORP INC,Martin Dietrich,0.54
SIMMONS FIRST NATL CP  -CL A,J. Thomas May,0.48
STERLING FINANCIAL CORP/WA,J. Gregory Seibly,0.55
S & T BANCORP INC,Todd D. Brice,0.43
SCOTTS MIRACLE-GRO CO,James Hagedorn,1
ICONIX BRAND GROUP INC,Neil Cole,1
CAESARS ENTERTAINMENT CORP,Gary W. Loveman,1.9
CABOT OIL & GAS CORP,Dan O. Dinges,0.6
DENBURY RESOURCES INC,"Phil Rykhoek, Sr.",0.5
CISCO SYSTEMS INC,John T. Chambers,0.38
HOLOGIC INC,Robert A. Cascella,0.85
DELPHI FINANCIAL GROUP INC,Robert Rosenkranz,0.87
MEDICIS PHARMACEUT CP  -CL A,Jonah Shacknai,1.14
NTN BUZZTIME INC,Michael J. Bush,0.27
TETRA TECHNOLOGIES INC/DE,Stuart M. Brightman,0.5
VICOR CORP,Patrizio Vinciarelli,0.35
GRANITE CONSTRUCTION INC,James H. Roberts,0.39
LANDSTAR SYSTEM INC,Henry H. Gerkens,0.5
BE AEROSPACE INC,Amin J. Khoury,1.09
ORBITAL SCIENCES CORP,David W. Thompson,0.64
KEMPER CORP/DE,Donald G. Southwell,0.98
MERIT MEDICAL SYSTEMS INC,Fred P. Lampropoulos,0.66
ANN INC,Katherine Lawther Krill,1.2
CONTANGO OIL & GAS CO,Kenneth R. Peak,0.75
INTEGRAL SYSTEMS INC,"Paul G. Casner, Jr.",0.39
INTL BANCSHARES CORP,Dennis E. Nixon,0.61
K-SWISS INC  -CL A,Steven B. Nichols,0.96
TRUEBLUE INC,Steven C. Cooper,0.55
HCA HOLDINGS INC,Richard M. Bracken,1.33
XILINX INC,Moshe N. Gavrielov,0.7
ARCTIC CAT INC,Claude J. Jordan,0.44
WET SEAL INC  -CL A,Susan P. McGalla,0.03
TRIMBLE NAVIGATION LTD,Steven W. Berglund,0.63
O'CHARLEY'S INC,"Philip J. Hickey, Jr.",0.15
COMSTOCK RESOURCES INC,Miles Jay Allison,0.55
TRANSATLANTIC HOLDINGS INC,Robert F. Orlich,1
EXPONENT INC,"Paul R. Johnston, Ph.D., P.E.",0.53
BENCHMARK ELECTRONICS INC,Cary T. Fu,0.74
MATRIX SERVICE CO,Michael J. Bradley,0.65
ALLIANT TECHSYSTEMS INC,John L. Shroyer,0.49
ESCO TECHNOLOGIES INC,"Victor L. Richey, Jr.",0.71
ETHAN ALLEN INTERIORS INC,M. Farooq Kathwari,1.05
BIOLASE TECHNOLOGY INC,David M. Mulder,0.19
CATHAY GENERAL BANCORP,"Dunson K. Cheng, Ph.D.",1
HAYNES INTERNATIONAL INC,Mark M. Comerford,0.41
SONIC CORP,J. Clifford Hudson,0.63
COMMUNITY HEALTH SYSTEMS INC,Wayne T. Smith,1.37
ATMEL CORP,Steve Laub,0.74
PS BUSINESS PARKS,"Joseph D. Russell, Jr.",0.43
AUTOZONE INC,"William C. Rhodes, III",0.92
ION GEOPHYSICAL CORP,Robert P. Peebler,0.58
REGENERON PHARMACEUT,"Leonard S. Schleifer, M.D., Ph.D.",0.76
COVENTRY HEALTH CARE INC,Allen F. Wise,0.6
PMC-SIERRA INC,Gregory S. Lang,0.63
CEPHALON INC,J. Kevin Buchi,0.69
UNITED STATES STEEL CORP,"John P. Surma, Jr.",1.13
APRIA HEALTHCARE GROUP INC,"Norman C. Payson, M.D.",0.75
HAEMONETICS CORP,Brian P. Concannon,0.55
JONES GROUP INC,Wesley R. Card,1.6
PANERA BREAD CO,Ronald M. Shaich,0.62
FIRST CASH FINANCIAL SVCS,Rick L. Wessel,0.85
IDEXX LABS INC,Jonathan W. Ayers,0.7
AES CORP,Paul Hanrahan,1.12
REHABCARE GROUP INC,"John H. Short, Ph.D.",0.73
CORVEL CORP,Daniel J. Starck,0.38
HANCOCK HOLDING CO,John M. Hairston,0.43
AMBAC FINANCIAL GROUP INC,Diana N. Adams,0.58
DINEEQUITY INC,Julia A. Stewart,0.91
KAISER ALUMINUM CORP,Jack A. Hockema,0.8
HANSEN NATURAL CORP,Rodney C. Sacks,0.41
XL GROUP PLC,Michael S. McGavick,1
VERTEX PHARMACEUTICALS INC,Matthew Emmens,1.13
MONRO MUFFLER BRAKE INC,Robert G. Gross,0.84
PROGRESS SOFTWARE CORP,Richard D. Reidy,0.49
BUCYRUS INTERNATIONAL INC,Timothy W. Sullivan,1
MGIC INVESTMENT CORP/WI,Curt S. Culver,0.87
HEALTHWAYS INC,"Ben R. Leedle, Jr.",0.71
ZEBRA TECHNOLOGIES CP  -CL A,Anders Gustafsson,0.74
THQ INC,Brian J. Farrell,0.7
PROASSURANCE CORP,"William Stancil Starnes, Esq.",0.82
BIOGEN IDEC INC,"George A. Scangos, Ph.D.",0.52
STEWART ENTERPRISES  -CL A,Thomas J. Crawford,0.6
VCA ANTECH INC,Robert L. Antin,0.91
SWS GROUP INC,James H. Ross,0.35
OLD DOMINION FREIGHT,David S. Congdon,0.5
HORACE MANN EDUCATORS CORP,Peter H. Heckman,0.47
ATLANTIC TELE-NETWORK INC,Michael T. Prior,0.53
WABASH NATIONAL CORP,Richard J. Giromini,0.52
WORLD ACCEPTANCE CORP/DE,"A. Alexander McLean, III",0.42
KIMCO REALTY CORP,David B. Henry,0.75
PERRIGO CO,Joseph C. Papa,0.96
TETRA TECH INC,Dan L. Batrack,0.64
QUALCOMM INC,"Paul E. Jacobs, Ph.D.",1.15
VITESSE SEMICONDUCTOR CORP,Christopher Gardner,0.41
CORP OFFICE PPTYS TR INC,Randall M. Griffin,0.65
USA MOBILITY INC,Vincent D. Kelly,0.6
GILEAD SCIENCES INC,"John C. Martin, Ph.D.",1.34
PDL BIOPHARMA INC,John P. McLaughlin,0.52
ABAXIS INC,Clinton H. Severson,0.37
WHOLE FOODS MARKET INC,Walter Robb,0.4
